term,or_as_specified,p_as_specified,or_all_gates,p_all_gates,pct_change_log_or
cf_paid_alternative,0.9468327604343992,0.4222067559588012,0.9468327604343992,0.4222067559588012,0.0
cf_unpaid_activity,1.06121618016664,0.35129340135942577,1.06121618016664,0.35129340135942577,0.0
cf_leisure_only,0.8969103356439964,0.11456957799273289,0.8969103356439964,0.11456957799273289,0.0
cf_no_plans,1.0611279258002002,0.5391945180880566,1.0611279258002002,0.5391945180880566,0.0
expect_app_clarity,0.9404658547651668,0.5390638397455318,0.9404658547651668,0.5390638397455318,0.0
expect_first_choice,1.3080553737849476,0.00022076346240848652,1.3080553737849476,0.00022076346240848652,0.0
expect_knew_what_to_expect,1.1034218989251618,0.11688529789241556,1.1034218989251618,0.11688529789241556,0.0
benefit_career_clarity,1.0432787556970804,0.5259664377976492,1.0432787556970804,0.5259664377976492,0.0
benefit_job_readiness,0.8534161219449646,0.045419453430915475,0.8534161219449646,0.045419453430915475,0.0
benefit_self_efficacy,1.0368434444589782,0.696288372211468,1.0368434444589782,0.696288372211468,0.0
benefit_mentor_relationship,0.9936878899934967,0.9106953299404338,0.9936878899934967,0.9106953299404338,0.0
benefit_money_management,1.042405536744384,0.5951620864388338,1.042405536744384,0.5951620864388338,0.0
